gt_x,gt_y,gt_psi,gt_v,f_x,f_y,f_psi,f_v,e_x,e_y,e_psi,e_v
100.728,-79.6337,-1.60655,5,100.38,-80.2067,-1.60569,7.60548,0.348309,0.573018,-0.000859431,-2.60548
100.711,-80.1334,-1.60655,5,100.406,-80.2775,-1.6058,7.18893,0.305045,0.144142,-0.000747535,-2.18893
100.693,-80.6331,-1.60655,5,100.651,-80.6427,-1.60579,7.14146,0.0414465,0.00966224,-0.000756833,-2.14146
100.675,-81.1328,-1.60655,5,100.719,-81.2246,-1.60609,7.46092,-0.0437745,0.0918371,-0.000462178,-2.46092
100.657,-81.6324,-1.60655,5,101.321,-81.4024,-1.60621,7.37368,-0.663859,-0.229996,-0.000342366,-2.37368
100.639,-82.1321,-1.60655,5,100.961,-82.2659,-1.60615,7.58041,-0.321518,0.133748,-0.000399842,-2.58041
100.621,-82.6318,-1.60655,5,100.609,-82.7561,-1.60616,7.4619,0.0117617,0.12428,-0.00039342,-2.4619
100.603,-83.1315,-1.60655,5,100.973,-83.5189,-1.60613,7.53246,-0.369674,0.387411,-0.000415404,-2.53246
100.585,-83.6312,-1.60655,5,100.502,-83.8501,-1.60612,7.39739,0.083518,0.218968,-0.000426238,-2.39739
100.568,-84.1308,-1.60655,5,100.176,-84.5201,-1.60608,7.40779,0.391317,0.389278,-0.000473529,-2.40779
100.55,-84.6305,-1.60655,5,100.542,-85.2781,-1.60609,7.55703,0.00823355,0.647613,-0.000461777,-2.55703
100.532,-85.1302,-1.60655,5,100.505,-85.4638,-1.60596,7.33147,0.0265991,0.333564,-0.000589871,-2.33147
100.514,-85.6299,-1.60655,5,101.074,-85.9977,-1.60605,7.15039,-0.56037,0.367772,-0.000495485,-2.15039
100.496,-86.1296,-1.60655,5,100.926,-86.6691,-1.60579,7.1336,-0.42968,0.539498,-0.000756456,-2.1336
100.478,-86.6292,-1.60655,5,100.85,-87.004,-1.60606,7.07901,-0.372142,0.374788,-0.000493492,-2.07901
100.46,-87.1289,-1.60655,5,100.907,-87.2256,-1.60631,6.8393,-0.446317,0.0966505,-0.000239753,-1.8393
100.443,-87.6286,-1.60655,5,100.589,-87.5887,-1.60678,6.49272,-0.146466,-0.0399292,0.00022745,-1.49272
100.425,-88.1283,-1.60655,5,100.265,-88.2071,-1.60708,6.39299,0.159959,0.0788441,0.000525811,-1.39299
100.407,-88.628,-1.60655,5,100.128,-88.8527,-1.60727,6.35034,0.278988,0.224765,0.000719204,-1.35034
100.389,-89.1276,-1.60655,5,100.473,-89.5738,-1.60728,6.37737,-0.0844039,0.4462,0.000727967,-1.37737
100.371,-89.6273,-1.60655,5,100.524,-90.3935,-1.60756,6.37548,-0.152942,0.766135,0.00100783,-1.37548
100.353,-90.127,-1.60655,5,100.409,-90.3411,-1.60753,5.95586,-0.0555208,0.214049,0.000979281,-0.955865
100.335,-90.6267,-1.60655,5,100.357,-90.6504,-1.60771,5.8762,-0.0217142,0.0236866,0.00115686,-0.876198
100.317,-91.1264,-1.60655,5,100.504,-91.0732,-1.60786,5.81816,-0.18626,-0.0531883,0.00130698,-0.818165
100.3,-91.626,-1.60655,5,100.211,-91.5152,-1.60796,5.77778,0.08888,-0.110831,0.00140968,-0.777777
100.282,-92.1257,-1.60655,5,99.9959,-92.3179,-1.6079,5.93841,0.285705,0.192219,0.0013491,-0.938414
100.264,-92.6254,-1.60655,5,100.376,-91.842,-1.60823,6.05742,-0.112524,-0.783426,0.0016797,-1.05742
100.246,-93.1251,-1.60655,5,99.5436,-92.5873,-1.60788,5.75847,0.702259,-0.537828,0.00133545,-0.758472
100.228,-93.6248,-1.60655,5,100.132,-93.4254,-1.60805,6.08512,0.0963149,-0.199417,0.00149612,-1.08512
